id,split,sentence,entity,category_llm,corretto (S/N),note
1,train,La composizione costante delle sostanze pure è stabilita dalla legge delle proporzioni definite.,legge delle proporzioni definite,chemical theory,S,
2,train,L'élite finanziaria globale si è riunita a Davos per discutere le prospettive macroeconomiche.,élite finanziaria,other social group,S,
3,train,Il contingente dei Caschi Blu ha presidiato la zona demilitarizzata per prevenire scontri tra le parti in causa.,Caschi Blu,political/military,S,
4,train,"Nelle ore di punta, sgusciare nel traffico a bordo di uno scooter rimane la soluzione più veloce.",scooter,bike,S,
5,train,"Nel cuore del centro storico, l'Hotel Brunelleschi racchiude al suo interno una torre bizantina.",Hotel Brunelleschi,hotel,S,
6,test,la grande conquista ( tycoon ) regia di richard wallace,richard wallace,artist,N,director
7,train,L'interesse per l'epigenetica è aumentato notevolmente dopo le ultime scoperte sui meccanismi di regolazione genica.,epigenetica,discipline,S,
8,test,ritratto di giovane uomo 1516 1517 olio su tavola 72x56 cm già a cracovia museo czartoryski ( scomparso durante la ii guerra mondiale ),ritratto di giovane uomo,other visual art,S,
9,test,fright night - il vampiro dclla pkrta accanto ( fright night ) regia di cfaig gillespie,fright night - il vampiro dclla pkrta accanto,film,S,errore di battitura nel titolo del film
10,train,"In ecologia, la teoria della regina rossa spiega la corsa agli armamenti evolutiva tra parassiti e ospiti.",teoria della regina rossa,biological theory,S,
11,train,L'assassino sferrò un colpo rapido ed letale servendosi di un piccolo pugnale ricurvo.,pugnale,cold weapon,S,
12,train,I maestri distillatori mantengono segrete le ricette di fermentazione usate nella Distilleria Nonino.,Distilleria Nonino,other production facility,S,
13,train,"Negli ultimi mesi, CheBanca! ha aggiornato l'offerta per i depositi a medio e lungo termine.",CheBanca!,bank,S,
14,train,Nel museo civico è conservato un antico moschetto risalente alle campagne napoleoniche.,moschetto,firearms,S,
15,train,La galassia Andromeda si sta lentamente avvicinando alla nostra a una velocità impressionante.,Andromeda,astronomical object,S,
16,train,Gli accademici amano insegnare la programmazione funzionale utilizzando Haskell.,Haskell,programlang,S,
17,train,La nuova flotta di autobus urbani sarà alimentata completamente a idrogeno.,idrogeno,element,S,
18,test,kingsport divenne presto un prto e intorno vi sorsero diversi cantieri navali .,prto,other transportation facility,S,errore di battitura nella parola "porto"
19,train,Il modello linguistico Claude 3 ha dimostrato eccellenti capacità nel ragionamento logico.,Claude 3,ai,S,
20,train,Il Porto di Trieste beneficia di un regime di porto franco che risale all'epoca asburgica.,Porto di Trieste,port,S,
21,test,c20h34o2 – formula molecolare dell acido diomo gamma linolenico,c20h34o2,medication,N,compound
22,train,Domani pomeriggio presso la Biblioteca Civica Bertoliana verrà presentato un saggio storico.,Biblioteca Civica Bertoliana,library,S,
23,train,"Nel 1981 uscì La voce del padrone, diventando il primo 33 giri a superare il milione di copie in Italia.",La voce del padrone,album,S,
24,train,In Un bar aux Folies-Bergère Manet immortala lo sguardo malinconico della banconiera dello sfarzoso locale parigino.,Un bar aux Folies-Bergère,painting,S,
25,train,La crema solare contiene ossido di zinco per schermare la pelle dai raggi ultravioletti.,ossido di zinco,compound,S,
26,train,Il condensato di Bose-Einstein è uno stato della materia che si manifesta vicino allo zero assoluto.,condensato di Bose-Einstein,other physical entity,S,
27,train,La raccolta e la lavorazione delle nocciole nella Cascina Rosa inizieranno nei primi giorni di settembre.,Cascina Rosa,farm,S,
28,train,I rappresentanti di vari paesi si sono riuniti per il Vertice del G20 a Roma.,Vertice del G20,political/military event,S,
29,train,il primo che andò ad abitare il nuovo palazzo della domus augustiana fu nerone .,nerone,politician,S,
30,train,La maggior parte degli abitanti della valle comunica abitualmente in basco.,basco,language,S,
31,train,Viaggiare lungo la celebre linea della Transiberiana richiede una preparazione minuziosa e molto tempo a disposizione.,Transiberiana,rail,S,
32,train,I risultati sulle emissioni di carbonio sono stati presentati al COP28 Science Symposium.,COP28 Science Symposium,conference,S,
33,train,Prima di addormentarmi amo leggere qualche capitolo sul mio Kindle Paperwhite.,Kindle Paperwhite,electronics,S,
34,train,La ricerca astronomica ha installato importanti telescopi nel gelido territorio dell'Antartide.,Antartide,continent,S,
35,test,vi furono anche proposte più ufficiali che videro fra l altro la partecipazione dell italdesign giugiaro .,italdesign giugiaro,other commercial organization,S,
36,train,Negli ultimi anni la trap ha conquistato i vertici delle classifiche streaming tra i giovanissimi.,trap,music genre,S,
37,train,I vigneti della provincia di Treviso hanno prodotto un'annata eccezionale per le bollicine.,provincia di Treviso,state or province,S,
38,test,maps.me è un applicazioe mobile per android ios e blackberry che fornisce mappe offline utilizzando i dati openstreetmap .,blackberry,other product,S,
39,train,"Firmato nel 1992, il Trattato di Maastricht ha posto le basi per l'integrazione monetaria.",Trattato di Maastricht,law,S,
40,test,si presenta come un insieme di lamelle a ventaglio inverso che chiudono l apertura del sistema ottico fino alla sezione minima .,ventaglio,clothes,N,entità estratta dal contesto in modo scorretto
41,train,"Grazie alla conduzione termica, il calore si propaga velocemente lungo la sbarra di rame.",conduzione termica,physical phenomenon,S,
42,train,L'Espressionismo tedesco cercava di esteriorizzare l'angoscia interiore attraverso colori violenti e linee deformate.,Espressionismo,visual art genre,S,
43,train,I soccorritori hanno lavorato senza sosta dopo il Terremoto del Centro Italia del 2016.,Terremoto del Centro Italia del 2016,disaster,S,
44,train,Il guasto alla condotta idrica è stato individuato all'altezza del civico 15.,altezza del civico 15,other address,S,
45,train,Un grave incendio ha colpito le foreste nel nord del Canada durante la stagione estiva.,Canada,country,S,
46,train,"Per ottenere un liscio perfetto senza rovinare le punte, occorre regolare correttamente la piastra per capelli.",piastra per capelli,personal care,S,
47,train,Le popolazioni locali sono riuscite ad adattarsi alla gravissima scarsità d'acqua del Deserto di Kalahari.,Deserto di Kalahari,desert,S,
48,train,"Francesco Petrarca rievoca la figura dell'amata Laura nella nota canzone Chiare, fresche e dolci acque.","Chiare, fresche e dolci acque",poem,S,
49,train,La polizia stradale ha inserito una potente Alfa Romeo Giulia nella propria flotta per i pattugliamenti autostradali.,Alfa Romeo Giulia,car,S,
50,train,Le forze dell'ordine hanno presidiato Via Condotti durante l'arrivo della delegazione diplomatica.,Via Condotti,road,S,
51,test,light my fire – singolo fei the doors del 1967,the doors,band,S,
52,train,"In qualità di supremo comandante alleato, Dwight D. Eisenhower pianificò lo sbarco in Normandia nel 1944.",Dwight D. Eisenhower,military,S,
53,train,L'attività eruttiva dell'Etna ha causato la chiusura temporanea dello scalo aereo.,Etna,mountain,S,
54,train,"Dopo decenni di disuso, l'area abbandonata della Miniera di Maramures è stata bonificata dal comune.",Miniera di Maramures,mine,S,
55,train,Un piccolo Cessna 172 ha sorvolato la costa ligure regalandoci una vista mozzafiato del tramonto.,Cessna 172,air,S,
56,train,"In presenza di troppe chiamate annidate, la call stack rischia di esaurire lo spazio disponibile mandando in blocco l'applicazione.",call stack,other computer science entity,S,
57,train,Il cofondatore Reed Hastings ha trasformato il servizio di noleggio di film in una piattaforma di streaming globale.,Reed Hastings,business executive,S,
58,train,L'Ospedale Maggiore di Parma vanta una lunga tradizione nel campo dell'assistenza sanitaria pubblica.,Ospedale Maggiore di Parma,hospital,S,
59,train,"Fondata nel centro storico, l'Antica Pizzeria Da Michele serve quotidianamente centinaia di clienti.",Antica Pizzeria Da Michele,restaurant,S,
60,test,giovanni canestrini ( 1893 1975 ) – giornalista storico e dirigente sportivo italiano,giovanni canestrini,other person,S,
61,train,Gli Zulu giocarono un ruolo fondamentale nella storia dell'Africa meridionale durante il XIX secolo.,Zulu,ethnic group,S,
62,train,La Saga degli uomini della Valle del Salmone rappresenta uno splendido esempio della prosa narrativa medievale islandese.,Saga degli uomini della Valle del Salmone,other literature,S,
63,test,silvera – singolo dei gojira del 2016,silvera,song,S,
64,train,I visitatori hanno esplorato i vari padiglioni tematici allestiti durante l'Esposizione Universale di Milano.,Esposizione Universale di Milano,other event,S,
65,train,I servizi d'intelligence sventarono il tentativo di assemblare una bomba sporca in una grande metropoli.,bomba sporca,nuclear,S,
66,train,Milioni di spettatori si sono sintonizzati su Rai 1 per seguire la diretta della cerimonia inaugurale.,Rai 1,media,S,
67,train,I lavori di restauro del Mercato Coperto di Perugia si concluderanno entro la prossima primavera.,Mercato Coperto di Perugia,market/mall,S,
68,train,La modernizzazione della ferrovia Roma-Formia-Napoli migliorerà i collegamenti regionali.,ferrovia Roma-Formia-Napoli,railway,S,
69,train,L'acrobata di strada ha incantato il pubblico facendo compiere evoluzioni spettacolari al suo yo-yo.,yo-yo,toys,S,
70,train,L'associazione ambientalista ha ricevuto il Premio Goldman per l'ambiente per aver protetto la foresta pluviale.,Premio Goldman per l'ambiente,other award,S,
71,train,Sulle rive del Lago di Como sorgono splendide ville d'epoca circondate da giardini lussureggianti.,Lago di Como,water body,S,
72,test,oltre alla versione oupé è stata prevista la realizzazione di una versione roadster in 9 esemplari .,oupé,other vehicle,S,
73,train,Il continuo adattamento dello stress e il conseguente logoramento dell'organismo sono al centro della teoria del carico allostatico.,teoria del carico allostatico,medical theory,S,
74,train,Per misurare la disuguaglianza nella distribuzione del reddito si utilizza comunemente l'indice di Gini.,indice di Gini,metrics,S,
75,train,Il disinfettante applicato sulla superficiale abrasione ha causato un momentaneo bruciore.,abrasione,injury,S,
76,train,Il primo ministro si è recato presso la Centrale Nucleare di Zaporizhzhia per valutare lo stato di sicurezza degli impianti.,Centrale Nucleare di Zaporizhzhia,energy,S,
77,train,Molti fenomeni della fisica atomica vengono spiegati con successo dalla meccanica quantistica.,meccanica quantistica,physical theory,S,
